id,geo_cluster
983625,0
985338,0
986727,0
987616,0
990367,0
990529,0
992891,0
993514,0
993575,0
711635,0
712127,2
712136,2
712260,0
713538,0
714028,0
714049,0
715070,0
717582,0
721762,0
723709,0
727512,0
727547,0
729841,0
731316,0
734749,0
736187,0
739239,0
739242,0
740754,0
741154,0
741712,0
741783,0
747316,0
748118,0
748233,0
749276,0
752289,0
752366,0
753622,0
753687,0
753991,0
754353,0
755703,0
758919,0
759901,0
761835,0
762015,0
762145,0
762426,0
763600,0
765315,0
765563,0
765569,0
766542,0
766814,0
766964,0
767286,0
769175,0
771430,0
773844,0
773885,0
774791,0
777097,0
777327,0
779596,0
779838,0
781865,0
782063,0
783202,0
783341,0
784088,0
784122,0
784124,0
785097,0
785166,0
785978,0
786685,0
787060,0
788035,0
789302,0
789476,0
789686,0
1300950,0
1301321,0
1304459,0
1305346,0
1306966,0
1307228,0
1307723,0
1312228,0
1313711,0
1322432,0
1325432,0
1326566,0
1330056,0
1331960,0
1332473,0
1334633,0
1336223,0
993576,0
995187,0
995469,0
998086,0
1001147,0
1009883,0
1010785,0
1013648,0
1016004,0
1016105,0
1023529,0
1024647,0
1025786,0
1026683,0
1027808,0
1030254,0
1035120,0
1036498,0
1038802,0
1039984,0
1040156,0
1040182,0
1623431,0
1628156,0
1635088,0
1640995,0
1645181,0
1645667,0
1646910,0
1649957,0
1652236,0
1654551,0
1654929,0
1655550,0
1656585,0
1656621,0
1668328,0
1669149,0
1670517,0
1672977,0
1673040,0
1682258,0
1688914,0
1693028,0
1696381,0
1702032,0
1702533,0
1702781,0
1704560,0
1707850,0
1716640,0
1717058,0
1717215,0
1717226,0
1722101,0
1724731,0
1725295,0
1727923,0
1728625,0
1729286,0
1731245,0
1731365,0
1734724,0
1739847,0
1741745,0
1742654,0
1744709,0
1745358,0
1753671,0
1754876,0
1755844,0
1758391,0
1759154,0
1759526,0
1762852,0
1763209,0
1766846,0
1776732,0
1778810,0
1780748,0
1781052,0
1782667,0
1788989,0
1084328,0
1087215,0
1093977,0
1098863,0
1100421,0
1101035,0
1101224,0
1102942,0
1108309,0
1115381,0
1117706,0
1118031,0
1121815,0
1123737,0
1123960,0
1126492,0
1126944,0
1127770,0
1131804,0
1137093,0
1137270,0
1146653,0
1150382,0
1150514,0
1157522,0
1166947,0
1167658,0
1170887,0
1171581,0
1171716,0
1180296,0
1182186,0
