neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,log_price
Brooklyn,Fort Greene,Entire home/apt,260.0,30,284,1.64,1,213,0,698.0,5.5645204
Queens,Rockaway Beach,Private room,114.0,30,16,0.09,1,90,0,1415.0,4.744932
Manhattan,Harlem,Private room,78.0,30,474,2.74,1,208,4,65.0,4.3694477
Brooklyn,Clinton Hill,Entire home/apt,176.0,50,12,0.07,1,131,0,3497.0,5.17615
Brooklyn,Greenpoint,Entire home/apt,175.0,30,353,2.05,2,180,0,444.0,5.170484
Brooklyn,Fort Greene,Private room,95.0,30,178,1.03,2,365,0,641.0,4.564348
Brooklyn,Crown Heights,Private room,60.0,30,276,1.6,2,352,2,62.0,4.1108737
Manhattan,Harlem,Private room,66.0,30,34,0.2,1,303,0,2103.0,4.204693
Queens,Astoria,Entire home/apt,110.0,30,41,0.24,1,88,0,679.0,4.7095304
Manhattan,Harlem,Entire home/apt,92.0,30,184,1.07,1,192,3,194.0,4.5325994
Brooklyn,Bedford-Stuyvesant,Entire home/apt,106.0,30,96,0.57,1,226,3,34.0,4.6728287
Brooklyn,Bedford-Stuyvesant,Entire home/apt,99.0,30,94,0.65,1,365,0,397.0,4.6051702
Brooklyn,Fort Greene,Entire home/apt,157.0,30,136,0.81,1,281,1,210.0,5.062595
Brooklyn,Park Slope,Private room,266.0,3,50,0.32,1,9,8,2.0,5.587249
Brooklyn,Crown Heights,Entire home/apt,67.0,30,86,0.51,1,33,1,360.0,4.2195077
Brooklyn,Williamsburg,Entire home/apt,280.0,30,193,1.13,1,36,0,609.0,5.638355
Manhattan,Inwood,Entire home/apt,120.0,90,166,1.07,1,228,0,796.0,4.7957907
Manhattan,Washington Heights,Private room,90.0,30,1,0.01,1,87,0,4810.0,4.5108595
Brooklyn,Park Slope,Private room,855.0,30,41,0.26,2,365,0,796.0,6.75227
Manhattan,Harlem,Entire home/apt,259.0,30,30,0.17,2,365,0,1007.0,5.560682
Manhattan,Harlem,Entire home/apt,175.0,30,18,0.11,1,358,0,2766.0,5.170484
Brooklyn,Williamsburg,Entire home/apt,320.0,30,114,0.72,1,364,0,607.0,5.771441
Manhattan,Upper West Side,Entire home/apt,120.0,31,311,1.92,2,323,3,81.0,4.7957907
Manhattan,Lower East Side,Private room,425.0,4,88,0.52,1,289,21,68.0,6.0544395
Queens,Astoria,Entire home/apt,296.0,2,542,3.2,1,291,21,6.0,5.6937323
Manhattan,Harlem,Private room,248.0,2,391,2.32,2,315,32,6.0,5.5174527
Brooklyn,Bedford-Stuyvesant,Entire home/apt,64.0,30,91,0.53,1,224,0,1730.0,4.1743875
Brooklyn,Bedford-Stuyvesant,Private room,162.0,30,27,0.16,4,365,0,2855.0,5.09375
Manhattan,Chelsea,Private room,174.0,30,26,0.28,1,365,0,2056.0,5.164786
Brooklyn,Williamsburg,Private room,499.0,31,57,0.47,1,325,1,355.0,6.214608
Brooklyn,Crown Heights,Entire home/apt,192.0,30,31,0.2,1,326,0,784.0,5.26269
Manhattan,Upper West Side,Entire home/apt,310.0,31,190,1.11,1,286,3,183.0,5.739793
Brooklyn,Windsor Terrace,Entire home/apt,175.0,30,124,0.73,1,150,1,180.0,5.170484
Brooklyn,Gravesend,Entire home/apt,100.0,30,0,0.47,2,336,0,167.0,4.6151204
Brooklyn,Fort Greene,Private room,105.0,2,302,2.2,2,285,68,8.0,4.6634393
Manhattan,Upper West Side,Entire home/apt,2500.0,30,25,0.15,10,364,0,3482.0,7.8244457
Brooklyn,Crown Heights,Entire home/apt,101.0,30,31,0.18,1,52,0,2185.0,4.624973
Manhattan,Kips Bay,Entire home/apt,150.0,30,130,0.77,1,213,2,282.0,5.0172796
Manhattan,East Village,Private room,175.0,30,128,0.76,1,83,0,1056.0,5.170484
Manhattan,East Harlem,Entire home/apt,125.0,30,128,0.76,1,341,2,6.0,4.836282
Manhattan,Hell's Kitchen,Private room,199.0,2,185,1.13,1,73,22,34.0,5.2983174
Brooklyn,Park Slope,Entire home/apt,130.0,30,313,1.93,1,365,0,639.0,4.8751974
Manhattan,Chelsea,Private room,126.0,2,159,0.96,1,170,18,55.0,4.8441873
Manhattan,Washington Heights,Private room,75.0,30,229,1.35,1,365,0,2030.0,4.3307333
Brooklyn,Flatbush,Private room,60.0,30,90,0.56,1,88,0,972.0,4.1108737
Manhattan,Upper West Side,Entire home/apt,200.0,30,133,0.78,1,137,0,731.0,5.303305
Brooklyn,Crown Heights,Entire home/apt,126.0,30,133,0.79,2,365,1,336.0,4.8441873
Brooklyn,Park Slope,Entire home/apt,190.0,30,106,0.76,1,123,0,2223.0,5.2522736
Brooklyn,Clinton Hill,Entire home/apt,398.0,30,115,0.68,2,13,3,274.0,5.988961
Brooklyn,Bedford-Stuyvesant,Entire home/apt,185.0,30,158,0.93,1,178,0,698.0,5.2257466
Brooklyn,Sheepshead Bay,Private room,72.0,30,125,0.74,2,57,0,2199.0,4.2904596
Queens,Sunnyside,Private room,59.0,30,312,1.91,1,275,4,186.0,4.0943446
Manhattan,Chinatown,Private room,230.0,5,90,0.72,1,195,25,14.0,5.4424176
Brooklyn,Fort Greene,Private room,183.0,30,156,0.93,2,136,1,36.0,5.214936
Brooklyn,Fort Hamilton,Entire home/apt,81.0,30,12,0.07,1,308,0,804.0,4.406719
Manhattan,Harlem,Private room,72.0,30,34,0.27,1,25,4,2.0,4.2904596
Brooklyn,Bensonhurst,Entire home/apt,106.0,30,38,0.23,1,337,4,168.0,4.6728287
